mass_bin,event_name,prm_file,param_err_key,matrix_key,ratio_mcmc_over_fisher,mcmc_fractional,fisher_fractional,ot_distance_scaled,ot_constrained,mc_constrained_for_matrix
m30,678_3_456,678_3_456_sampling.prm,alpha_err,A1,42.230765197547036,0.00187171647831752,4.432115945713999e-05,0.9915841847633825,True,True
m30,678_3_456,678_3_456_sampling.prm,log_q_err,A1,6.453327142453957,0.010492161652130001,0.0016258530554116967,0.9477468934582469,True,True
m30,678_3_456,678_3_456_sampling.prm,log_rho_err,A1,3.7979134706109914,0.0032556684477801157,0.0008572255458090672,0.9298513365716573,True,True
m30,678_3_456,678_3_456_sampling.prm,log_s_err,A1,76.30919096809794,0.0030757683690657536,4.0306656774170487e-05,0.9824475806117106,True,True
m30,678_3_456,678_3_456_sampling.prm,log_tE_err,A1,38.71629403386732,0.0037159501449081397,9.597897313357495e-05,0.9838304771912658,True,True
m30,678_3_456,678_3_456_sampling.prm,piEE_err,C,152.02467988348397,0.5646455144868141,0.003714170060542633,0.9850972360445288,True,False
m30,678_3_456,678_3_456_sampling.prm,piEN_err,C,62.37142319875813,2.0081784706651495,0.03219709231687268,0.9461433061817652,True,False
m30,678_3_456,678_3_456_sampling.prm,t0_err,A1,111.38666570426379,5.739373703449025e-08,5.152657786424185e-10,0.6057846075375568,True,True
m30,678_3_456,678_3_456_sampling.prm,u0_err,A1,267.0649750302536,0.0038956410708058846,1.4586866249925055e-05,0.995528363491045,True,True
m30,715_0_326,715_0_326_sampling.prm,alpha_err,A2,0.9520836097124349,0.021660551433486885,0.02275068199107974,0.9543427846018576,True,True
m30,715_0_326,715_0_326_sampling.prm,log_q_err,A2,0.8422406523229593,0.021553060265962005,0.025590144819674924,0.9446618757313022,True,True
m30,715_0_326,715_0_326_sampling.prm,log_rho_err,B,0.012108300353533288,0.08450562400582912,6.979148314665796,0.09520199756998676,True,True
m30,715_0_326,715_0_326_sampling.prm,log_s_err,A1,1.1452046300619207,0.07734859128040701,0.06754128410764877,0.9749106353105438,True,True
m30,715_0_326,715_0_326_sampling.prm,log_tE_err,A1,1.2752298626365564,0.02006026375029737,0.01573070419541657,0.9775551062940706,True,True
m30,715_0_326,715_0_326_sampling.prm,piEE_err,D,4.465136987400795,3.991106245487438,0.8938373574537753,0.8998783901587613,True,False
m30,715_0_326,715_0_326_sampling.prm,piEN_err,D,0.7645186186681727,15.06894670291205,19.710372429075516,0.5704694814445113,True,False
m30,715_0_326,715_0_326_sampling.prm,t0_err,A2,0.7563153909686687,1.1463079473997384e-07,1.5156480498586408e-07,0.4122195964620477,True,True
m30,715_0_326,715_0_326_sampling.prm,u0_err,A1,1.369605859289187,0.06623334138538958,0.048359417372647685,0.885507917823786,True,True
m30,715_1_103,715_1_103_sampling.prm,alpha_err,B,0.009122719707504183,0.025829526682265236,2.83134059912181,0.944512042676763,True,True
m30,715_1_103,715_1_103_sampling.prm,log_q_err,A2,0.4469349465891677,0.060069487687767195,0.13440320150884144,0.783697798052899,True,True
m30,715_1_103,715_1_103_sampling.prm,log_rho_err,B,0.0031221461896125168,0.06846228059848905,21.927954823597087,0.13435818823161577,True,True
m30,715_1_103,715_1_103_sampling.prm,log_s_err,A2,0.3579341599125552,0.1192747504187295,0.3332309787025323,0.9466043274839282,True,True
m30,715_1_103,715_1_103_sampling.prm,log_tE_err,A2,0.43722254676156425,0.08657435810784847,0.19800982074023984,0.9416206621674773,True,True
m30,715_1_103,715_1_103_sampling.prm,piEE_err,D,0.06847723306685405,59.016136583457694,861.8358823850326,0.10627356290726231,True,False
m30,715_1_103,715_1_103_sampling.prm,piEN_err,D,0.005604196593984572,60.802783023100964,10849.509292440847,0.14552450551052998,True,False
m30,715_1_103,715_1_103_sampling.prm,t0_err,A2,0.020011443753355514,1.2545135564621106e-08,6.268980748836546e-07,0.9778292160932907,True,True
m30,715_1_103,715_1_103_sampling.prm,u0_err,B,0.01800446466487034,0.14233259361970027,7.90540547964275,0.9611381889085696,True,True
m30,716_0_418,716_0_418_sampling.prm,alpha_err,A2,0.40687751958620116,0.05332535165390398,0.13105996052113283,0.8564272302690009,True,True
m30,716_0_418,716_0_418_sampling.prm,log_q_err,A2,0.9423330571326568,0.07754553480885149,0.08229100552283292,0.752505824364213,True,True
m30,716_0_418,716_0_418_sampling.prm,log_rho_err,B,0.15520772102479943,0.06832521442941779,0.440217883351954,0.3626811185452256,True,True
m30,716_0_418,716_0_418_sampling.prm,log_s_err,A1,1.0391782582566582,0.0837158968405149,0.08055970780312321,0.9123996489349916,True,True
m30,716_0_418,716_0_418_sampling.prm,log_tE_err,A2,0.24394330679437848,0.007003476032274418,0.02870944123987668,0.991460551616461,True,True
m30,716_0_418,716_0_418_sampling.prm,piEE_err,D,0.5223359004501614,11.24686504632965,21.531862995893704,0.7924004484163238,True,False
